[475;413#2598
 163;50#717
 403;336#2063
 312;145#1278
 431;8#1498
 361;131#1391
 316;19#1112
 449;426#2537
 76;441#1567
 386;245#1725
 374;344#1999
 311;258#1524
 389;108#1447
 478;184#1902
 167;449#1756
 237;83#950
 187;69#791
 18;473#1633
 325;56#1166
 404;362#2160
 143;133#832
 364;182#1500
 146;393#1509
 372;205#1564
 240;73#962
 406;292#1937
 78;142#706
 90;492#1767
 444;95#1592
 486;121#1780
 202;185#1068
 228;485#2064
 20;271#1009
 410;423#2382
 37;22#214
 95;71#592
 425;64#1486
 486;376#2512
 22;1#112
 238;314#1500
 19;207#805
 220;288#1369
 139;149#847
 113;198#934
 200;412#1706
 212;80#883
 164;455#1777
 139;403#1532
 427;231#1837
 272;495#2202
 15;47#253
 200;69#833
 354;383#2072
 218;216#1172
 189;392#1616
 73;126#664
 483;375#2502
 285;362#1766
 362;29#1275
 199;249#1201
 447;162#1756
 115;90#668
 367;456#2393
 481;482#2889
 407;86#1445
 284;363#1765
 251;436#1918
 420;375#2267
 390;45#1365
 473;255#2066
 175;478#1871
 461;381#2431
 223;310#1432
 158;213#1062
 425;226#1821
 43;450#1581
 393;207#1642
 235;287#1409
 373;384#2135
 13;426#1471
 483;16#1684
 335;234#1527
 244;104#999
 492;257#2149
 74;183#798
 27;66#359
 371;319#1893
 323;197#1380
 417;262#1882
 477;6#1651
 408;498#2688
 163;295#1234
 382;472#2512
 129;318#1265
 286;37#1050
 180;144#927
 165;98#801
 206;129#952
 489;27#1711
 382;136#1464
 164;162#928
 60;300#1093
 97;31#483
 491;285#2231
 444;93#1589
 82;250#984
 125;289#1159
 126;378#1421
 403;364#2158
 397;73#1409
 486;374#2507
 427;230#1835
 232;60#924
 26;234#895
 318;216#1425
 456;356#2339
 408;267#1866
 197;165#1009
 216;62#879
 124;124#775
 180;288#1258
 180;339#1417
 485;466#2840
 32;435#1518
 476;165#1852
 191;344#1453
 138;163#878
 383;34#1340
 101;129#711
 36;288#1067
 374;213#1586
 363;411#2204
 141;77#685
 303;372#1857
 132;183#916
 444;302#2116
 282;223#1337
 462;38#1607
 441;26#1536
 77;78#566
 372;150#1446
 470;348#2355
 485;360#2455
 257;372#1729
 223;74#911
 334;347#1883
 312;90#1171
 471;185#1876
 270;160#1167
 326;177#1377
 380;467#2478
 245;404#1798
 366;33#1285
 231;345#1568
 59;425#1504
 60;91#564
 179;76#790
 10;353#1246
 310;17#1096
 32;411#1440
 491;134#1837
 363;432#2289
 357;121#1359
 350;189#1464
 357;466#2400
 95;222#943
 91;224#936
